video_id,text,like_count,published_at,source
Akj12zQniWw,"Tôi comback kênh show mặt bằng quả vid này :)))) các bạn ủng hộ nhíee

https://youtu.be/NvgJgFem3V0",148,2025-01-01T05:51:20Z,youtube
Akj12zQniWw,Ai hóng tất cả drama 2025 điểm danh đeeeeeee!!!,63,2025-11-29T19:15:44Z,youtube
Akj12zQniWw,"18:07  m có bt t chờ lâu lắm rồi ko
Erik: ra hiệu tắt mic nhưng ko kịp
Pháp kiều: *Mẹ nè con*",14,2025-09-11T01:48:12Z,youtube
Akj12zQniWw,sắp nx r:))) 2025 drm 1 đống haha,22,2025-11-23T17:44:29Z,youtube
Akj12zQniWw,"Còn quả drama ấn tượng cuối năm review 600 doanh nghiệp cuối năm, con dân hóng mất ăn ngủ. Cả vụ quán quân Olympia đăng hôn quốc khánh nữa, sốc thôi rồi",102,2025-01-01T12:14:44Z,youtube
Akj12zQniWw,"idol thì đạo nhái , fan ăn cắp, quả là cặp đôi hoàn hảo, nồi nào úp vung nấy, like idol like fan 👏👏",18,2025-01-07T09:21:40Z,youtube
Akj12zQniWw,"11:19 LÊN anh ơi LÊN, em chờ anh làm lắm zồi đây này. Anh mà làm video riêng về Say Hi với Chonggai là em chuẩn bị bánh nước ngồi coi luôn :)))",55,2025-01-01T09:47:35Z,youtube
Akj12zQniWw,"Anh ơi lên vụ ANH TRAI SAY HI và ANH TRAI CHÔNG GAI đi ạaaaaa, mắc hóng lắm rr ạ",123,2025-01-01T08:16:37Z,youtube
Akj12zQniWw,Thiếu sự phẫn nội của người lửa với ông nào đó lên đỉnh olympia r a ơi:)),14,2025-01-05T01:53:35Z,youtube
Akj12zQniWw,"làm ATVNCG vs ATSH đi anh, lót dép hóng, drama này phải làm 1 quả cover toàn bộ cuốn phải biết =)))))))))))))",339,2025-01-01T05:41:38Z,youtube
Akj12zQniWw,"Em đồng ý lên hẳn một clip 2 chương trình anh trai nha, gì chứ mẹ em còn hóng thì nói chi em :3",226,2025-01-01T08:54:40Z,youtube
Akj12zQniWw,Nhắc quả phong bạt đợt lũ cười muốn xỉu 😂,8,2025-01-27T12:17:26Z,youtube
Akj12zQniWw,"Nói cho đúng thì mục tiêu của Chưa Biết là những nghệ sĩ không có ct quản lý hoặc chống lưng, hoạt động cá nhân. Chứ mà dám đụng vào mấy nghệ sĩ có công ty quản lý, mấy công ty quản lý đó mà đụng vào nghệ sĩ của họ thì họ cho ra toà. Lúc đó tha hồ bán nhà và xe mà đền.",31,2025-01-03T23:28:41Z,youtube
Akj12zQniWw,Cách nói chuyện của ông này giống Monsieur Tuna vãi,6,2025-01-02T05:06:52Z,youtube
Akj12zQniWw,"khán giải VN dễ dãi nhỉ, có những hành động không thể chấp nhận được, 1 lời xin lỗi cho có, lặn 2 tháng và trở lại như không có chuyện gì xảy ra, ko 1 chút ăn năn hối lỗi @@",384,2025-01-02T11:59:53Z,youtube
Akj12zQniWw,"nội dung và cách thể hiện của bạn này rất hay, cũng có vài nét giống kênh Monsieur Tuna của anh Tuân hải phòng :))",20,2025-01-06T08:43:16Z,youtube
Akj12zQniWw,"Có ai giống tui sau khi thấy quả spoil ""tổng hợp drama năm 2025"" là vội đi cày lại video này ko 😂😂😂",1,2025-09-22T15:59:51Z,youtube
Akj12zQniWw,"Tổng hợp năm 2025 chắc Me xừ phải làm ba phần, mỗi phần ba tiếng mất",1,2025-12-19T17:16:02Z,youtube
Akj12zQniWw,Ông xe lăn đúng kiểu tàn r còn phế:))),9,2025-01-01T11:53:55Z,youtube
Akj12zQniWw,Mong vn nên phong sát kiểu bên trung chứ kiểu cộng đồng mạng vn dễ dãi quá cứ dính drama j là vài tháng sau tẩy trắng thành công làm nghề lại bth,79,2025-01-01T05:33:43Z,youtube
Akj12zQniWw,Em fan Anh Trai Say Hi nhưng cũng mong anh lên clip drama 2 chương trình atsh và atvncg nữa ạ =)) Tại có nửa năm thôi mà em hóng được quá trời luonnn,33,2025-01-01T08:43:58Z,youtube
Akj12zQniWw,14:05 không có vụ Duy Muối hả b,19,2025-01-01T07:10:19Z,youtube
Akj12zQniWw,"content này oke nè, chill guy 1 năm rồi cuối năm hít drama 30p cho thõa mãn rồi chill tiếp
=)))",31,2025-01-06T03:47:40Z,youtube
Akj12zQniWw,thật sự hóng tóm tắt drama của 2 show anh trai dài 1 tiếng rưỡi ạ=)))),18,2025-01-02T20:24:11Z,youtube
Akj12zQniWw,"+1 drama me xừ đức chưa nói:
Vụ schannel miền nam lại ủng hộ anh trai say hi",1,2025-09-10T14:26:20Z,youtube
Akj12zQniWw,"bật lên để xem lúc rửa bát , hóng chút drama mà ad cho 2 quả quảng cáo dài gần 2p rửa gần xong luôn =))",6,2025-01-02T12:37:09Z,youtube
Akj12zQniWw,"Nói thật nghe ông này hay vãi, kiểu nói không bị vấp vốn từ hay vãi , cho nên tui hay nghe lúc làm văn phân tích đường luật:)))",0,2025-10-19T08:34:56Z,youtube
Akj12zQniWw,:)))làm tổng kết năm 2025 chắc vd dài dữ đó,1,2025-08-23T15:17:52Z,youtube
Akj12zQniWw,Thiếu 1 drama đình đám nhất năm... cả nước quên lời gốc bài của ngô lan hương😂,1,2025-01-14T06:16:20Z,youtube
Akj12zQniWw,kiểu bình luận giống monsier tuna quá,3,2025-01-03T13:45:30Z,youtube
Akj12zQniWw,"Sót quả dramma với câu nói ám ảnh nhân loại là: ""đợi bố mày 5 phút"".",4,2025-01-03T13:41:14Z,youtube
Akj12zQniWw,"Videos nào cũng hay
Mong giáo sư Đức mau ra đều đều những clip hay 
*một năm mới nhiều may mắn, hạnh phúc, thành công trong công việc nhé*",6,2025-01-01T06:37:23Z,youtube
Akj12zQniWw,0:47 hôm nay là 31/12/2025 và lightstick vẫn ch có,2,2025-12-31T08:56:52Z,youtube
Akj12zQniWw,Hình như tháng 6 còn vụ Hạt Tiêu Play với Mr Vịt=)),3,2025-01-02T05:41:07Z,youtube
Akj12zQniWw,làm đi anh :))) phải có một video về ATVNCG và ATSH 🐸,4,2025-01-02T12:21:44Z,youtube
Akj12zQniWw,Tự nhiên nhớ drama về vịt và tiêu 😂,2,2025-01-04T12:46:21Z,youtube
Akj12zQniWw,"Tui coi trên tv ăn tô chống lào thì thấy video này, phải cầm ngay cái đt để like và sup cho ông anh me xừ đức có thêm động lực làm mấy video hít drama vui nhất từ trước đến giờ, ý mà tui k thích drama showbig cho lắm.",2,2025-01-03T16:26:17Z,youtube
Akj12zQniWw,"Dino Sakura,Chu Ngọc Quanh Vinh với sự phẫn nộ của người lửa nx anh ơi",0,2025-03-14T10:42:54Z,youtube
Akj12zQniWw,Nghe cứ bị na ná chú tuân siêu cấp vip pro í nhỉ,2,2025-01-03T09:53:01Z,youtube
Akj12zQniWw,Chưa gì đã hóng content này của năm 2025 ròi,0,2025-05-25T02:44:16Z,youtube
Akj12zQniWw,"Trăm đi không bằng 2 bánh, trăm đá vẫn ko bằng vô ảnh cước của anh xe lăn",1,2025-01-02T04:10:51Z,youtube
Akj12zQniWw,Lm drama của ATSH với ATVNCG đi ạ plzzz,3,2025-01-03T11:10:30Z,youtube
Akj12zQniWw,"t ở tổng hợp drama 2025 qua, cảm giác như mấy drama 2024 này xảy ra từ 2020 luôn í =)) năm đ j nhiều biến động vl hic =)))))",0,2025-12-30T14:29:25Z,youtube
Akj12zQniWw,xem vid này xong mới biết mik tối cổ🥲😗,1,2025-01-07T17:03:35Z,youtube
Akj12zQniWw,Video ông này cuốn vch íii,3,2025-01-03T14:56:39Z,youtube
Akj12zQniWw,Anh làm xếp hạng các tiết mục trong ATVNCG đi ạ🎉,9,2025-01-01T05:52:30Z,youtube
Akj12zQniWw,Eo ơi quả sao kê của MTTQ thật sự chất lượng,0,2025-01-27T14:50:14Z,youtube
Akj12zQniWw,Tổng hợp Drama 2025 chắc 3h chưa xong🎉🎉,1,2025-07-31T07:10:13Z,youtube
Akj12zQniWw,"Thiếu mấy đứa quái xế,bà cô đòi mua loptop,rồi cha con lớp 6,10 với ông cha đánh thk lớp 8 nữa anh ơi 😅",3,2025-01-01T15:12:41Z,youtube
Akj12zQniWw,Đỉnh nóc kịch trần bay phấp phới anh ơi 😂,1,2025-01-03T17:47:30Z,youtube
Akj12zQniWw,ủng hộ làm về 2 show ạ. liền ad ơiiiiii,3,2025-01-02T05:41:26Z,youtube
